strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,full_median_calmar,first_median_calmar,second_median_calmar,worst_half_calmar,full_median_return,first_median_return,second_median_return,full_trades,full_win,full_positive,full_beat_bh,full_median_vs_bh
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,4,0,2.31,1.61,1.01,1.01,53.56,30.55,14.98,314,65.29,54,17,-126.16
low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,4,0,2.28,1.61,1.0,1.0,53.56,30.55,14.59,313,64.86,54,17,-126.16
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,4,0,2.67,1.6,0.94,0.94,61.87,34.11,14.59,273,71.43,57,16,-112.04
low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,2,0,2.12,1.27,0.89,0.89,45.96,27.38,17.74,325,63.38,54,16,-151.63
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,2,0,2.12,1.27,0.89,0.89,45.96,27.38,17.74,326,63.5,54,16,-151.63
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,2,0,1.94,1.27,0.89,0.89,44.64,27.52,17.74,344,62.5,54,16,-149.05
low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,3,0,2.12,1.33,0.87,0.87,47.19,30.55,18.57,315,65.4,55,16,-139.73
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,3,0,2.12,1.33,0.87,0.87,47.19,30.55,18.57,316,65.51,55,16,-139.73
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,4,0,1.99,1.25,0.87,0.87,50.7,29.28,14.98,341,62.17,54,17,-135.69
tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,4,0,2.03,1.43,0.85,0.85,39.16,30.55,11.98,248,68.95,55,17,-158.51
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,3,0,1.74,1.25,0.85,0.85,46.18,28.85,18.57,341,63.05,53,16,-134.95
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,4,0,2.85,1.77,0.84,0.84,70.89,39.57,13.1,295,64.41,54,17,-95.15
tianma__hold_gone,tianma,hold_gone,20,2,0,1.95,1.34,0.83,0.83,39.47,22.44,12.43,257,66.93,53,15,-158.51
tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,2,0,1.95,1.34,0.83,0.83,39.47,22.44,12.43,258,67.05,53,15,-158.51
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,4,0,2.38,1.6,0.82,0.82,57.49,34.11,13.8,273,71.06,57,16,-112.04
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,2,0,2.07,1.32,0.81,0.81,46.79,31.22,13.51,348,62.07,54,16,-156.74
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,3,0,2.05,1.59,0.8,0.8,52.43,33.7,10.85,297,64.31,55,15,-129.98
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,1,0,1.59,1.33,0.79,0.79,34.45,30.55,13.25,349,62.18,55,17,-178.45
tianma__hold_gone,tianma,hold_gone,30,1,0,2.44,1.72,0.78,0.78,45.29,32.79,13.01,237,70.46,57,15,-149.21
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,4,0,2.11,1.56,0.78,0.78,50.84,29.73,12.15,339,61.95,55,17,-171.05
tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,1,0,2.05,1.72,0.78,0.78,43.77,30.88,13.01,237,69.62,57,14,-149.21
tianma__hold_gone,tianma,hold_gone,20,4,0,2.03,1.43,0.78,0.78,39.16,30.55,11.48,247,68.02,55,17,-158.51
tianma__hold_gone,tianma,hold_gone,20,1,0,2.35,1.39,0.77,0.77,43.12,23.95,13.12,258,67.44,53,14,-165.97
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,1,0,2.32,1.34,0.77,0.77,50.59,27.45,14.96,345,62.32,54,16,-175.24
low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,1,0,2.19,1.34,0.77,0.77,50.59,27.45,14.53,328,63.72,53,15,-175.24
tianma__hold_gone,tianma,hold_gone,20,3,0,2.08,1.28,0.76,0.76,44.99,27.37,11.07,249,69.08,55,16,-158.51
tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,3,0,2.08,1.28,0.76,0.76,44.99,27.37,11.07,250,69.2,55,16,-158.51
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,4,0,2.35,1.32,0.75,0.75,56.77,31.21,15.37,342,60.82,53,16,-129.42
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,1,0,1.57,1.22,0.74,0.74,33.16,19.01,8.94,399,54.13,52,15,-195.74
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,1,0,1.53,1.07,0.74,0.74,32.99,18.83,8.94,399,54.39,53,15,-195.74
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,1,0,1.14,0.95,0.74,0.74,32.99,17.21,8.94,431,51.04,51,14,-195.88
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,4,0,1.76,1.48,0.73,0.73,44.07,27.84,8.79,364,57.97,57,15,-146.17
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,3,0,2.12,1.33,0.72,0.72,42.93,25.18,11.88,374,56.68,55,15,-181.18
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,3,0,2.12,1.33,0.72,0.72,42.93,25.18,11.88,374,56.68,55,15,-181.18
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,3,0,2.09,1.47,0.72,0.72,56.22,32.02,12.69,276,70.65,58,15,-115.99
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,1,0,2.04,1.33,0.72,0.72,48.68,26.61,10.37,331,63.14,53,14,-175.24
low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,3,0,1.91,1.45,0.72,0.72,46.18,28.85,12.78,341,62.46,54,16,-158.76
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,3,0,1.91,1.45,0.72,0.72,46.18,28.85,12.78,341,62.46,54,16,-158.76
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,3,0,1.89,1.25,0.72,0.72,49.8,28.98,12.47,346,61.85,53,14,-157.88
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,5,0,2.89,1.51,0.71,0.71,63.01,33.66,14.85,313,65.5,56,18,-119.87
low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,5,0,2.89,1.51,0.71,0.71,62.93,33.66,14.85,312,65.71,57,18,-118.66
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,1,0,2.68,1.34,0.71,0.71,67.21,30.38,13.02,317,63.41,56,17,-102.35
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,5,0,2.44,1.25,0.71,0.71,56.54,29.88,14.31,339,61.95,56,18,-119.87
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,4,0,1.93,1.17,0.71,0.71,47.5,22.75,8.65,436,47.48,53,16,-183.85
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,2,0,3.59,1.7,0.7,0.7,95.56,43.98,17.93,269,72.86,58,21,-65.28
tianma__hold_gone,tianma,hold_gone,20,5,0,2.23,1.43,0.7,0.7,48.13,26.22,11.25,246,69.11,55,20,-129.1
tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,5,0,2.23,1.43,0.7,0.7,44.16,26.22,11.25,247,68.83,54,20,-129.1
tianma__hold_gone,tianma,hold_gone,30,2,0,2.29,1.29,0.68,0.68,53.5,29.65,12.23,236,69.92,57,16,-155.01
tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,2,0,2.29,1.29,0.68,0.68,53.5,29.65,12.23,236,69.92,57,16,-155.01
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,3,0,1.9,1.47,0.67,0.67,48.03,33.06,10.85,289,67.13,56,15,-125.87
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,1,0,1.0,0.83,0.67,0.67,24.88,13.48,8.24,451,49.45,49,12,-193.8
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,4,0,2.05,1.65,0.66,0.66,52.36,35.12,13.1,288,67.01,56,16,-112.04
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,3,0,2.0,1.11,0.66,0.66,41.8,24.19,10.52,419,51.55,52,15,-188.44
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,5,0,2.77,1.86,0.65,0.65,66.69,37.29,14.85,273,71.43,57,20,-100.52
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,5,0,2.77,1.86,0.65,0.65,66.69,37.29,14.85,273,71.43,57,20,-100.52
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,4,0,2.22,1.61,0.65,0.65,49.45,27.75,12.15,371,55.79,55,16,-169.98
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,4,0,2.2,1.33,0.65,0.65,49.45,25.9,12.15,403,52.11,55,16,-172.3
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,3,0,2.16,1.27,0.65,0.65,44.86,26.3,10.99,414,51.45,53,16,-185.27
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,5,0,2.05,1.83,0.65,0.65,59.02,37.29,11.25,287,67.25,56,19,-100.52
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,3,0,1.74,1.27,0.65,0.65,43.99,26.3,10.99,414,51.21,53,16,-189.07
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,2,0,3.59,1.43,0.63,0.63,90.86,32.89,12.71,311,63.67,58,19,-86.05
tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,4,0,2.22,1.5,0.63,0.63,61.14,34.11,11.48,232,72.85,57,17,-143.57
tianma__hold_or_trend_down,tianma,hold_or_trend_down,20,1,0,2.13,1.39,0.63,0.63,39.16,23.52,10.04,259,66.8,52,12,-165.97
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,1,0,2.11,1.72,0.63,0.63,43.77,32.79,12.93,238,70.17,56,15,-144.29
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,1,0,1.99,1.46,0.63,0.63,43.07,31.37,13.39,286,66.78,55,15,-131.25
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,1,0,1.99,1.54,0.63,0.63,42.3,34.44,11.29,294,65.31,53,15,-131.91
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,1,0,1.85,1.46,0.63,0.63,41.22,28.55,13.39,286,66.08,55,14,-131.25
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,3,0,1.64,0.97,0.63,0.63,35.31,22.38,10.47,442,48.19,53,16,-187.09
low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,2,0,2.91,1.29,0.62,0.62,73.97,30.94,12.42,336,61.01,57,18,-107.31
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,2,0,2.87,1.29,0.62,0.62,73.97,30.94,12.42,337,60.83,57,18,-107.31
low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,2,0,1.64,1.28,0.62,0.62,36.2,25.56,12.23,346,60.4,52,16,-163.65
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,2,0,1.64,1.28,0.62,0.62,36.2,25.56,12.23,347,60.23,52,16,-163.66
low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,1,0,1.81,1.37,0.61,0.61,41.7,24.21,7.03,352,59.09,53,16,-172.16
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,1,0,1.81,1.37,0.61,0.61,38.29,24.21,7.03,369,56.64,53,16,-172.16
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,1,0,1.77,1.33,0.61,0.61,39.99,26.05,7.03,380,56.84,54,16,-181.03
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,1,0,1.24,0.92,0.61,0.61,32.32,15.35,6.08,463,46.87,48,14,-201.81
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,1,0,1.22,1.02,0.61,0.61,30.13,16.43,6.23,461,46.42,49,15,-202.46
low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,1,0,2.57,1.28,0.6,0.6,70.23,27.65,13.49,338,60.95,56,17,-108.02
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,2,0,2.37,1.64,0.59,0.59,63.91,38.1,10.56,240,68.33,53,18,-143.63
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,2,0,2.29,1.29,0.59,0.59,47.43,31.04,12.23,237,69.2,56,16,-147.47
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,4,0,2.22,1.61,0.59,0.59,46.88,27.75,9.62,371,55.53,55,16,-169.98
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,4,0,2.2,1.33,0.59,0.59,49.02,25.9,9.38,403,51.86,55,16,-172.3
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,1,0,2.19,1.7,0.59,0.59,48.8,30.56,12.93,240,68.33,53,17,-142.59
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,3,0,2.05,1.47,0.59,0.59,51.51,32.02,10.85,276,70.29,58,15,-115.99
low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,4,0,2.03,1.56,0.59,0.59,49.45,29.73,11.86,339,61.65,55,17,-171.05
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,2,0,1.97,1.32,0.59,0.59,42.77,31.14,10.56,292,65.07,54,15,-134.41
tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,4,0,1.97,1.43,0.59,0.59,37.8,26.93,8.56,263,66.54,56,15,-171.75
tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,4,0,1.96,1.51,0.59,0.59,45.26,26.14,8.56,311,56.59,55,16,-177.49
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,2,0,1.92,1.65,0.59,0.59,53.76,35.29,10.56,300,64.0,53,15,-118.44
tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,4,0,1.86,1.17,0.59,0.59,38.99,27.75,7.69,289,60.21,55,14,-174.12
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,3,0,1.85,1.37,0.59,0.59,44.26,26.67,11.51,364,59.07,56,15,-179.77
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,1,0,2.38,1.44,0.58,0.58,50.52,27.65,10.94,340,60.29,54,15,-110.86
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,4,0,2.15,1.5,0.58,0.58,53.74,34.11,11.48,235,71.49,56,17,-137.79
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,1,0,1.56,1.4,0.58,0.58,42.3,29.39,11.29,301,62.79,50,15,-127.37
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,4,0,1.85,1.16,0.56,0.56,44.12,25.68,8.14,417,50.84,54,16,-184.0
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,2,0,1.62,1.31,0.56,0.56,36.48,24.51,7.41,366,57.38,53,16,-181.95
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,2,0,1.08,0.83,0.56,0.56,30.0,15.77,10.07,426,48.83,51,15,-201.33
tianma__hold_gone,tianma,hold_gone,30,4,0,2.22,1.5,0.55,0.55,61.14,34.11,10.47,232,72.41,57,17,-143.57
tianma__hold_gone,tianma,hold_gone,15,4,0,1.97,1.43,0.55,0.55,37.8,26.93,8.11,263,66.16,56,15,-171.75
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,2,0,1.39,0.93,0.55,0.55,32.47,16.59,9.57,387,52.45,50,14,-198.94
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,2,0,1.39,0.93,0.55,0.55,32.47,16.59,9.57,388,52.32,50,14,-198.94
low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,5,0,2.54,1.51,0.54,0.54,60.51,29.92,11.06,336,62.5,56,18,-141.83
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,5,0,2.54,1.51,0.54,0.54,60.51,29.92,11.06,336,62.5,56,18,-145.0
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,5,0,2.33,1.35,0.54,0.54,58.93,32.87,14.35,339,61.06,56,18,-100.11
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,2,0,1.41,0.85,0.54,0.54,37.6,21.1,9.66,448,46.87,50,16,-189.39
low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,1,0,3.17,1.68,0.53,0.53,79.26,41.15,12.06,286,68.53,58,19,-99.45
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,1,0,2.65,1.81,0.53,0.53,78.13,38.87,12.06,286,65.04,54,17,-99.58
tianma__hold_gone,tianma,hold_gone,15,5,0,2.23,1.34,0.53,0.53,47.18,32.87,6.92,261,67.05,55,18,-144.0
tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,5,0,2.23,1.34,0.53,0.53,46.35,32.87,6.92,261,66.67,55,18,-144.0
tianma__hold_gone,tianma,hold_gone,10,4,0,1.86,1.17,0.53,0.53,38.99,27.75,7.69,289,59.86,55,14,-174.12
low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,3,0,3.27,1.62,0.52,0.52,87.77,43.7,12.97,279,69.18,56,21,-71.36
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,3,0,3.27,1.62,0.52,0.52,87.77,43.49,12.97,279,68.82,56,21,-71.36
