strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,full_median_calmar,first_median_calmar,second_median_calmar,worst_half_calmar,full_median_return,first_median_return,second_median_return,full_trades,full_win,full_positive,full_beat_bh,full_median_vs_bh
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,5,0,2.58,1.48,0.52,0.52,52.39,29.84,8.08,362,58.29,58,16,-119.87
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,1,0,2.22,1.39,0.5,0.5,39.16,23.39,7.91,259,65.64,52,13,-165.97
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,1,0,1.75,1.33,0.5,0.5,37.49,23.69,6.27,353,58.92,53,15,-172.16
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,3,0,3.75,1.65,0.49,0.49,93.86,43.7,17.67,264,73.86,57,22,-63.19
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,4,0,3.64,1.79,0.49,0.49,95.27,44.41,14.57,260,74.62,57,27,-18.04
low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,2,0,3.41,1.77,0.49,0.49,88.59,43.98,11.48,285,68.07,58,21,-94.57
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,2,0,3.41,1.77,0.49,0.49,88.59,42.85,11.48,285,68.07,58,21,-94.57
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,1,0,3.27,1.67,0.49,0.49,79.26,41.15,12.91,274,71.53,58,20,-72.75
low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,4,0,3.26,1.72,0.49,0.49,93.38,44.41,15.77,277,71.12,56,21,-64.28
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,4,0,3.26,1.72,0.49,0.49,93.38,44.41,15.77,277,70.76,56,21,-64.28
tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,1,0,2.71,1.51,0.49,0.49,60.67,38.87,9.28,232,69.83,55,19,-128.84
tianma__shou_gone,tianma,shou_gone,30,1,0,2.66,1.6,0.49,0.49,68.71,41.15,9.27,232,72.85,55,21,-127.89
low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,3,0,2.62,1.3,0.49,0.49,70.2,29.53,13.21,333,60.36,57,21,-88.24
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,3,0,2.62,1.3,0.49,0.49,70.2,29.53,13.21,333,60.36,56,20,-88.24
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,1,0,2.62,1.59,0.49,0.49,68.83,39.59,9.27,230,73.91,56,20,-127.89
tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,5,0,2.57,1.5,0.49,0.49,59.09,36.23,9.28,232,72.85,56,20,-128.84
tianma__hold_gone,tianma,hold_gone,30,5,0,2.57,1.5,0.49,0.49,57.98,36.23,9.28,232,73.28,56,20,-128.84
tianma__hold_gone,tianma,hold_gone,30,3,0,2.34,1.7,0.49,0.49,56.0,34.91,9.83,233,72.53,58,17,-154.18
tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,3,0,2.34,1.7,0.49,0.49,56.0,34.91,9.83,233,72.53,58,17,-154.18
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,5,0,2.31,1.63,0.49,0.49,57.98,37.95,9.28,235,71.92,55,20,-128.84
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,3,0,2.27,1.3,0.49,0.49,57.98,35.44,9.28,239,69.04,55,18,-143.16
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,3,0,2.18,1.7,0.49,0.49,56.0,35.44,9.83,235,71.06,57,17,-148.46
low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,2,0,1.97,1.2,0.49,0.49,46.97,27.22,12.23,282,67.38,55,15,-127.89
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,2,0,1.97,1.2,0.49,0.49,46.97,27.22,12.23,282,67.38,55,15,-127.89
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,2,0,1.17,0.91,0.49,0.49,25.83,18.14,7.35,437,46.45,48,14,-200.63
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,2,0,1.17,0.91,0.49,0.49,25.12,18.14,7.35,436,46.56,47,14,-201.87
low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,5,0,2.79,1.5,0.48,0.48,61.42,30.74,9.62,364,56.87,55,16,-140.1
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,5,0,2.79,1.5,0.48,0.48,61.42,30.74,9.62,364,56.87,55,16,-143.33
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,2,0,2.71,1.51,0.48,0.48,81.85,34.29,10.73,330,61.21,56,20,-80.62
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,2,0,2.67,1.42,0.48,0.48,67.31,30.05,10.73,407,50.12,57,18,-92.88
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,2,0,2.67,1.42,0.48,0.48,66.53,30.05,10.73,408,50.0,57,18,-92.88
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,1,0,2.19,1.63,0.48,0.48,41.65,26.33,7.46,260,65.77,51,16,-183.65
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,2,0,1.91,1.44,0.48,0.48,43.95,26.75,7.35,379,56.2,55,16,-182.07
low_kdj_25__hold_gone,low_kdj_25,hold_gone,5,5,0,2.64,1.41,0.47,0.47,57.59,27.25,9.62,392,53.57,56,17,-136.53
low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,5,0,2.64,1.41,0.47,0.47,57.59,27.25,9.62,392,53.57,56,17,-139.85
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,4,0,1.87,1.12,0.47,0.47,38.14,26.93,7.72,257,64.98,54,15,-158.51
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,4,0,1.6,1.12,0.47,0.47,37.39,26.93,8.11,276,61.59,54,13,-179.04
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,5,0,3.59,1.75,0.46,0.46,97.51,41.97,14.25,253,73.91,57,25,-7.92
low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,2,0,2.78,1.51,0.46,0.46,74.63,36.02,10.42,357,56.02,57,16,-95.55
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,2,0,2.75,1.51,0.46,0.46,74.63,36.02,10.42,358,55.87,57,16,-95.55
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,1,0,2.53,1.6,0.46,0.46,51.51,31.26,10.09,362,55.52,56,15,-124.37
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,1,0,2.38,1.44,0.46,0.46,65.56,33.33,10.09,337,60.53,57,19,-100.36
low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,1,0,2.38,1.48,0.46,0.46,57.84,33.33,10.09,359,56.27,57,15,-96.38
tianma__hold_gone,tianma,hold_gone,10,3,0,2.04,1.31,0.46,0.46,41.11,25.04,7.37,291,60.82,54,14,-181.18
tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,3,0,2.04,1.31,0.46,0.46,41.11,25.04,7.37,291,60.82,54,14,-181.18
tianma__hold_gone,tianma,hold_gone,10,1,0,1.21,1.23,0.46,0.46,26.65,15.83,5.91,308,56.49,52,13,-192.75
tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,1,0,1.21,1.23,0.46,0.46,26.65,15.83,5.91,308,57.14,52,13,-192.75
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,1,0,2.37,1.26,0.45,0.45,56.57,27.65,9.04,251,66.14,54,17,-128.84
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,4,0,2.36,1.5,0.45,0.45,58.7,36.23,11.48,237,68.78,54,18,-128.6
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,10,5,0,2.16,1.35,0.45,0.45,51.35,27.25,6.54,413,51.82,54,16,-141.27
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,4,0,1.99,1.36,0.44,0.44,52.13,29.0,8.79,373,54.15,54,16,-192.0
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,2,0,1.91,1.34,0.44,0.44,37.94,22.44,8.08,259,65.64,52,14,-158.51
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,2,0,2.56,1.61,0.43,0.43,67.41,35.54,9.24,403,49.63,57,19,-92.77
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,3,0,2.03,1.27,0.43,0.43,44.99,27.25,7.88,257,66.15,53,16,-158.51
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,5,0,2.82,1.76,0.42,0.42,83.06,39.29,11.25,292,64.38,54,18,-94.31
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,1,0,2.73,1.48,0.42,0.42,61.57,33.33,10.09,372,54.3,58,18,-93.21
tianma__hold_gone,tianma,hold_gone,10,5,0,2.45,1.32,0.42,0.42,50.08,29.06,6.92,282,61.7,56,18,-137.64
tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,5,0,2.45,1.32,0.42,0.42,48.13,29.06,6.92,282,61.35,56,18,-137.64
tianma__hold_gone,tianma,hold_gone,5,5,0,2.23,1.41,0.42,0.42,48.58,26.88,6.92,301,58.14,56,18,-144.83
tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,5,0,2.23,1.41,0.42,0.42,48.41,26.88,6.92,301,58.14,56,18,-144.83
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,1,0,2.39,1.29,0.41,0.41,57.72,28.5,10.03,412,50.49,57,17,-93.21
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,1,0,2.39,1.44,0.41,0.41,56.19,25.94,9.42,415,49.64,55,16,-123.38
tianma__hold_gone,tianma,hold_gone,5,4,0,1.97,1.51,0.41,0.41,45.26,26.14,7.69,311,56.27,55,16,-177.49
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,3,0,2.72,1.42,0.4,0.4,66.17,35.0,10.35,399,50.88,58,20,-67.46
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,3,0,2.72,1.42,0.4,0.4,66.17,35.0,10.35,399,50.63,58,20,-67.46
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,2,0,2.5,1.67,0.4,0.4,68.72,45.06,7.72,228,74.12,58,21,-108.88
tianma__hold_gone,tianma,hold_gone,15,3,0,2.08,1.57,0.4,0.4,40.53,25.3,8.31,267,66.67,53,14,-186.18
tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,3,0,2.08,1.57,0.4,0.4,40.53,25.3,8.31,267,66.67,53,14,-186.18
low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,5,0,2.63,1.57,0.39,0.39,77.47,40.2,9.28,328,61.59,57,22,-63.93
tianma__shou_gone,tianma,shou_gone,15,1,0,2.0,1.2,0.39,0.39,52.39,27.4,7.12,272,59.93,53,17,-135.35
tianma__hold_gone,tianma,hold_gone,5,3,0,2.0,1.5,0.39,0.39,41.37,25.04,7.37,318,55.97,53,15,-189.99
tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,3,0,2.0,1.5,0.39,0.39,41.37,25.04,7.37,318,55.66,53,15,-189.07
tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,1,0,1.93,1.44,0.39,0.39,41.42,27.4,7.12,273,58.61,52,15,-128.84
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,3,0,1.62,1.25,0.39,0.39,35.08,27.09,6.49,259,63.71,52,16,-158.51
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,1,0,0.94,0.71,0.39,0.39,20.12,10.76,5.58,542,42.25,47,12,-205.26
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,1,0,0.86,0.85,0.39,0.39,21.69,10.65,5.05,323,51.7,45,10,-205.9
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,3,0,1.81,1.2,0.38,0.38,38.05,18.91,5.92,309,56.31,51,15,-168.84
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,4,0,2.43,1.58,0.37,0.37,63.21,38.96,6.95,394,51.78,58,23,-62.03
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,3,0,2.07,1.23,0.37,0.37,45.52,28.0,5.23,376,56.12,56,15,-174.78
tianma__hold_gone,tianma,hold_gone,15,1,0,2.04,1.42,0.37,0.37,39.2,23.3,4.98,275,62.18,52,14,-180.16
tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,2,0,2.81,1.72,0.36,0.36,66.54,45.57,7.36,232,72.41,55,21,-126.15
tianma__shou_gone,tianma,shou_gone,30,2,0,2.58,1.72,0.36,0.36,67.31,45.57,7.36,232,72.41,55,21,-126.15
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,4,0,2.43,1.58,0.36,0.36,63.21,38.96,6.95,394,52.03,58,23,-62.53
low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,4,0,2.31,1.25,0.36,0.36,64.46,34.26,6.95,329,61.09,57,22,-67.26
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,4,0,2.31,1.24,0.36,0.36,64.46,34.26,6.95,329,60.79,57,22,-67.26
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,5,0,2.11,1.22,0.36,0.36,46.35,26.27,6.92,274,61.68,54,16,-144.0
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,20,5,0,1.92,1.23,0.36,0.36,44.16,26.22,6.49,256,65.23,53,19,-140.39
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,2,0,1.88,1.63,0.36,0.36,39.26,30.55,6.49,260,64.62,53,16,-158.51
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,1,0,0.85,0.45,0.36,0.36,15.74,7.14,3.69,592,40.88,42,11,-195.99
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,1,0,2.49,1.48,0.35,0.35,57.84,30.71,7.12,265,64.15,56,19,-128.84
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,4,0,1.92,1.14,0.35,0.35,38.99,26.14,6.68,308,55.84,54,15,-170.36
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,3,0,1.77,1.24,0.34,0.34,34.64,25.04,6.34,276,62.32,52,13,-173.0
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,1,0,2.62,1.44,0.33,0.33,57.84,29.59,7.93,287,58.54,57,18,-128.84
tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,1,0,1.94,1.42,0.33,0.33,39.2,23.95,4.94,275,61.45,52,13,-180.16
tianma__hold_gone,tianma,hold_gone,15,2,0,1.72,1.41,0.33,0.33,37.43,24.34,5.21,271,63.47,51,13,-187.43
tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,2,0,1.72,1.41,0.33,0.33,37.43,24.34,5.21,272,63.24,51,13,-187.43
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,1,0,1.72,1.37,0.33,0.33,34.43,20.67,4.94,279,59.14,50,12,-170.65
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,2,0,1.56,1.37,0.33,0.33,30.97,17.68,4.94,277,59.93,51,12,-177.62
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,1,0,1.51,1.56,0.33,0.33,29.39,21.41,4.94,282,60.28,48,13,-174.29
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,3,0,1.47,0.94,0.33,0.33,34.25,22.39,4.94,281,59.07,51,15,-168.53
tianma__hold_gone,tianma,hold_gone,10,2,0,1.23,1.0,0.33,0.33,29.89,16.37,4.47,299,56.19,51,13,-194.56
tianma__hold_or_trend_down,tianma,hold_or_trend_down,10,2,0,1.23,1.0,0.33,0.33,29.89,16.37,4.47,300,56.0,51,13,-194.56
low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,3,0,2.72,1.45,0.32,0.32,74.18,36.18,8.11,351,56.98,58,21,-74.13
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,3,0,2.72,1.45,0.32,0.32,74.18,36.18,8.11,351,56.98,58,21,-74.13
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,1,0,1.99,1.48,0.32,0.32,52.15,34.54,5.23,423,47.52,56,15,-110.86
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,2,0,1.68,1.41,0.32,0.32,32.12,20.13,4.47,282,58.87,50,16,-181.11
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,1,0,1.42,1.22,0.32,0.32,27.51,15.32,5.58,319,53.92,50,13,-182.54
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,2,0,1.16,1.02,0.32,0.32,30.16,17.68,4.47,321,49.53,47,11,-206.63
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,2,0,1.14,1.03,0.32,0.32,24.86,12.36,4.47,315,52.7,51,13,-184.93
low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,5,0,2.51,1.86,0.31,0.31,73.52,41.24,5.34,393,52.42,57,23,-56.25
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,2,0,2.19,1.39,0.31,0.31,56.94,27.96,7.36,247,65.59,54,20,-126.15
tianma__shou_gone,tianma,shou_gone,20,1,0,1.93,1.2,0.31,0.31,43.39,25.42,5.72,253,64.03,53,17,-140.08
tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,1,0,1.71,1.48,0.31,0.31,39.42,26.14,5.72,254,62.2,52,16,-140.08
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,4,0,1.48,0.92,0.31,0.31,32.07,20.58,4.65,515,44.66,53,13,-188.8
low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,5,0,3.53,1.81,0.3,0.3,93.0,41.13,9.71,276,71.38,57,21,-60.93
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,2,0,2.82,1.53,0.3,0.3,56.94,31.36,5.87,310,53.87,54,20,-115.4
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,2,0,2.67,1.56,0.3,0.3,85.48,35.54,8.18,362,55.52,58,19,-79.37
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,10,5,0,2.06,1.17,0.3,0.3,47.08,26.99,5.12,305,56.39,55,18,-152.79
