strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,full_median_calmar,first_median_calmar,second_median_calmar,worst_half_calmar,full_median_return,first_median_return,second_median_return,full_trades,full_win,full_positive,full_beat_bh,full_median_vs_bh
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,5,0,3.59,2.13,0.28,0.28,100.69,45.29,14.35,351,55.27,58,25,-9.25
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,5,0,3.53,1.96,0.28,0.28,100.34,44.98,14.35,327,59.33,58,25,-9.25
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,5,0,3.53,1.81,0.28,0.28,87.03,41.13,9.71,276,71.74,57,21,-60.93
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,5,0,3.43,1.87,0.28,0.28,96.54,42.46,14.25,289,65.05,57,24,-17.97
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,5,0,3.29,1.93,0.28,0.28,96.54,43.65,12.63,310,62.58,58,25,-13.83
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,3,0,3.16,1.6,0.28,0.28,86.47,39.29,11.02,325,61.85,58,23,-64.31
tianma__shou_gone,tianma,shou_gone,30,3,0,2.68,1.71,0.28,0.28,73.01,45.39,8.29,230,71.74,55,22,-104.37
tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,3,0,2.68,1.71,0.28,0.28,73.01,45.39,8.29,230,71.74,55,22,-104.37
tianma__shou_gone,tianma,shou_gone,15,3,0,2.6,1.53,0.28,0.28,57.83,33.8,7.8,268,60.07,55,19,-118.49
tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,3,0,2.6,1.53,0.28,0.28,57.83,33.8,7.8,268,60.07,55,19,-118.49
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,5,0,2.01,1.29,0.28,0.28,54.49,27.4,7.48,432,47.22,54,18,-96.45
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,3,0,1.47,0.96,0.28,0.28,34.65,20.06,4.87,519,45.09,52,12,-188.45
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,3,0,1.04,0.67,0.27,0.27,22.98,16.05,4.17,568,39.96,49,11,-193.89
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,4,0,3.22,1.76,0.26,0.26,85.85,38.03,6.95,320,61.88,58,27,-21.65
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,4,0,3.21,1.8,0.26,0.26,85.85,42.71,6.95,298,64.77,57,26,-18.04
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,4,0,2.35,1.48,0.26,0.26,65.45,37.18,5.62,347,57.35,58,22,-53.01
low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,4,0,2.35,1.48,0.26,0.26,61.04,37.18,5.62,347,57.64,57,22,-53.01
tianma__shou_gone,tianma,shou_gone,5,3,0,1.33,1.2,0.26,0.26,30.72,22.45,5.72,337,46.88,50,13,-132.09
tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,3,0,1.33,1.2,0.26,0.26,30.63,22.45,5.72,337,46.88,50,14,-132.09
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,3,0,3.48,1.72,0.25,0.25,91.33,42.27,9.06,303,65.02,57,21,-62.49
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,3,0,3.37,1.8,0.25,0.25,86.47,42.17,9.06,352,56.82,58,22,-51.26
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,2,0,2.95,1.39,0.25,0.25,63.48,33.33,7.72,281,59.79,56,20,-115.4
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,2,0,2.53,1.43,0.25,0.25,63.48,30.2,7.33,260,65.38,56,20,-123.01
tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,2,0,2.46,1.37,0.24,0.24,56.47,29.77,5.19,271,59.41,54,16,-133.72
tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,2,0,2.35,1.39,0.24,0.24,47.26,28.73,4.9,253,63.64,54,17,-137.72
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,3,0,1.16,0.83,0.24,0.24,32.85,21.39,5.11,319,51.72,52,15,-197.56
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,4,0,1.55,1.37,0.23,0.23,37.4,26.41,5.72,257,63.04,54,17,-140.8
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,4,0,3.26,1.91,0.21,0.21,90.94,39.6,6.95,343,58.6,58,27,-21.65
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,5,0,2.46,1.51,0.21,0.21,57.16,33.03,8.08,368,55.43,57,17,-111.5
low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,3,0,1.98,1.42,0.21,0.21,44.15,30.58,4.14,495,45.25,55,18,-96.59
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,5,0,1.46,1.15,0.21,0.21,32.02,23.1,2.79,510,45.49,52,13,-196.86
tianma__hold_gone,tianma,hold_gone,5,1,0,1.38,1.28,0.21,0.21,28.94,15.83,3.1,353,49.29,50,14,-200.54
tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,1,0,1.38,1.23,0.21,0.21,27.77,14.83,3.1,353,50.42,49,14,-199.19
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,5,0,2.51,1.86,0.2,0.2,73.52,41.24,5.34,393,52.67,57,23,-56.19
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,4,0,1.38,0.69,0.2,0.2,23.09,16.49,2.74,351,45.3,49,12,-191.38
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,5,0,2.75,1.69,0.19,0.19,67.97,40.49,7.8,234,69.23,53,21,-73.87
tianma__shou_gone,tianma,shou_gone,10,3,0,2.49,1.54,0.19,0.19,54.29,33.5,5.72,297,54.55,55,21,-117.01
tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,3,0,2.49,1.54,0.19,0.19,54.29,33.5,5.72,297,54.55,55,21,-117.01
tianma__shou_gone,tianma,shou_gone,10,1,0,2.16,1.29,0.19,0.19,50.17,24.5,5.44,303,54.46,53,18,-132.98
low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,5,0,3.1,2.05,0.18,0.18,77.47,40.96,5.34,345,58.84,58,23,-51.03
tianma__shou_gone,tianma,shou_gone,30,5,0,2.7,1.61,0.18,0.18,64.65,41.13,6.3,226,74.34,56,23,-62.59
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,5,0,2.63,1.57,0.18,0.18,77.47,40.2,9.28,328,61.59,57,22,-63.93
tianma__shou_gone,tianma,shou_gone,15,2,0,2.32,1.37,0.18,0.18,53.82,29.77,4.18,271,59.41,54,16,-133.72
low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,4,0,1.73,1.48,0.18,0.18,47.65,30.53,2.66,490,46.53,55,19,-87.01
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,4,0,1.73,1.52,0.18,0.18,47.65,30.53,2.66,490,46.33,55,18,-98.11
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,4,0,1.28,1.18,0.18,0.18,27.39,22.35,3.19,557,39.68,49,11,-194.2
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,5,0,1.12,0.89,0.18,0.18,25.1,18.68,2.17,348,46.26,48,12,-185.74
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,3,0,3.08,1.88,0.17,0.17,83.16,41.63,8.54,388,51.8,57,22,-64.12
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,3,0,2.79,1.71,0.17,0.17,62.55,38.56,8.29,299,56.19,56,22,-61.18
tianma__shou_gone,tianma,shou_gone,20,2,0,2.19,1.39,0.17,0.17,47.26,28.73,4.16,253,63.64,54,17,-137.72
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,5,0,1.9,1.44,0.17,0.17,47.05,27.4,4.94,275,58.18,53,17,-128.84
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,3,0,2.96,1.71,0.16,0.16,71.94,36.5,7.8,255,65.49,56,22,-65.63
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,3,0,2.92,1.58,0.15,0.15,78.66,42.52,8.29,226,73.45,56,22,-60.87
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,3,0,2.87,1.71,0.15,0.15,71.94,40.49,7.04,239,67.36,53,21,-62.91
tianma__shou_gone,tianma,shou_gone,20,3,0,2.32,1.28,0.15,0.15,53.1,29.99,4.09,250,63.2,53,18,-132.09
tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,3,0,2.26,1.28,0.15,0.15,53.1,29.99,4.09,250,62.8,53,18,-132.09
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,3,0,1.98,1.49,0.15,0.15,44.15,30.6,2.56,495,45.05,55,17,-96.59
tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,2,0,1.4,1.2,0.15,0.15,23.88,17.68,2.68,336,50.0,51,14,-196.31
tianma__hold_gone,tianma,hold_gone,5,2,0,1.35,1.2,0.15,0.15,23.88,17.68,2.68,335,50.15,51,14,-200.44
tianma__shou_gone,tianma,shou_gone,30,4,0,2.78,1.72,0.14,0.14,73.47,44.41,6.44,228,73.68,55,23,-65.01
tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,4,0,2.75,1.72,0.14,0.14,73.47,44.41,6.44,228,73.25,55,23,-65.01
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,1,0,2.27,1.5,0.14,0.14,51.18,32.81,2.74,323,51.39,53,19,-128.84
tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,1,0,1.96,1.36,0.14,0.14,46.65,25.18,4.01,304,53.95,52,18,-128.84
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,5,0,3.1,1.94,0.13,0.13,77.47,40.96,5.34,346,58.67,58,23,-51.03
tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,5,0,2.5,1.61,0.13,0.13,64.65,41.13,6.3,226,74.34,56,23,-62.59
tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,2,0,2.27,1.27,0.13,0.13,48.65,26.96,3.63,300,54.0,54,18,-131.32
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,4,0,1.6,1.31,0.13,0.13,35.3,25.42,4.94,279,57.35,52,16,-172.71
low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,5,2,0,0.89,0.6,0.12,0.12,19.2,11.92,2.98,532,42.29,46,12,-204.68
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,3,0,3.16,1.71,0.11,0.11,81.31,41.69,7.04,276,60.87,56,22,-59.95
low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,4,0,2.96,1.9,0.11,0.11,85.85,39.24,6.95,374,53.74,58,28,-22.84
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,5,0,1.35,1.22,0.11,0.11,34.52,26.92,4.18,548,40.33,54,13,-126.43
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,5,0,3.1,1.4,0.1,0.1,89.52,40.4,7.63,215,75.35,56,28,-24.86
tianma__shou_gone,tianma,shou_gone,10,2,0,2.14,1.27,0.1,0.1,48.65,26.96,2.79,300,54.0,54,18,-131.32
low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,2,0,1.75,1.29,0.1,0.1,45.92,29.13,4.12,505,44.95,54,14,-106.27
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,2,0,1.75,1.33,0.1,0.1,45.92,31.15,4.12,506,45.06,54,15,-106.27
tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,2,0,1.19,0.99,0.1,0.1,30.97,19.91,2.35,343,45.77,47,13,-154.73
tianma__shou_gone,tianma,shou_gone,5,2,0,1.14,0.95,0.1,0.1,27.24,19.91,1.85,343,45.48,47,12,-154.73
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,5,1,0,0.39,0.17,0.09,0.09,6.33,0.56,1.22,376,40.43,38,9,-180.01
low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,5,2,0,1.3,0.68,0.08,0.08,30.86,15.88,1.89,581,39.41,42,13,-196.13
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,1,0,0.72,0.54,0.08,0.08,15.5,9.22,1.92,370,41.62,43,10,-199.44
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,4,0,2.8,1.56,0.06,0.06,88.23,40.55,8.64,221,74.21,56,26,-59.02
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,5,0,1.96,1.42,0.06,0.06,42.17,27.4,4.79,255,62.75,53,18,-112.48
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,4,0,1.5,1.0,0.06,0.06,36.75,22.35,2.65,317,51.1,53,15,-190.87
low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,1,0,1.59,1.15,0.05,0.05,34.16,27.4,2.16,515,43.3,53,12,-121.43
tianma__shou_gone,tianma,shou_gone,10,4,0,2.5,1.55,0.03,0.03,53.46,33.64,2.88,293,56.31,55,22,-101.59
tianma__shou_gone,tianma,shou_gone,15,4,0,2.35,1.48,0.03,0.03,60.04,37.18,4.41,266,60.9,55,21,-108.66
tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,4,0,2.35,1.48,0.03,0.03,60.04,37.18,4.41,266,60.53,55,21,-109.1
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,5,0,1.93,1.88,0.03,0.03,53.75,36.77,1.94,489,46.63,54,18,-103.0
low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,5,0,1.68,1.87,0.03,0.03,53.73,36.77,4.13,488,46.31,53,19,-89.73
tianma__shou_gone,tianma,shou_gone,5,4,0,1.32,1.2,0.03,0.03,30.37,22.18,4.41,335,47.46,51,15,-123.88
low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,1,0,1.18,1.05,0.03,0.03,30.47,25.34,0.66,521,42.42,50,12,-151.71
tianma__shou_gone,tianma,shou_gone,5,1,0,1.23,0.78,0.01,0.01,22.29,19.09,1.34,349,44.7,48,11,-154.04
tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,1,0,0.96,0.78,0.01,0.01,20.51,18.54,0.43,352,44.32,46,12,-146.12
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,3,0,0.93,0.72,0.01,0.01,20.92,16.88,0.23,354,45.2,51,10,-187.74
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,5,0,3.12,1.45,0.0,0.0,89.52,40.96,3.82,254,63.78,57,25,-53.9
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,5,0,3.08,1.43,0.0,0.0,86.58,40.96,6.57,270,59.26,57,24,-55.16
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,5,0,3.08,1.4,0.0,0.0,82.09,37.88,4.66,227,69.6,54,26,-32.72
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,5,0,3.06,1.42,0.0,0.0,80.49,40.74,3.82,241,67.22,57,26,-53.9
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,4,0,2.91,1.55,0.0,0.0,81.61,38.06,4.41,290,56.9,56,26,-62.28
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,4,0,2.9,1.55,0.0,0.0,82.52,38.96,1.99,268,61.94,56,26,-61.53
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,4,0,2.83,1.55,0.0,0.0,84.66,38.85,4.41,250,65.2,56,25,-59.02
tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,4,0,2.83,1.55,0.0,0.0,79.49,39.29,4.41,235,67.66,53,24,-59.02
tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,4,0,2.5,1.55,0.0,0.0,56.41,33.64,2.88,294,55.78,55,22,-105.77
tianma__shou_gone,tianma,shou_gone,20,5,0,2.5,1.43,0.0,0.0,54.99,34.79,2.24,246,64.63,54,20,-95.65
tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,5,0,2.5,1.43,0.0,0.0,54.99,34.79,0.91,246,65.04,54,20,-95.76
tianma__shou_gone,tianma,shou_gone,15,5,0,2.49,1.43,0.0,0.0,58.2,40.5,3.82,263,61.98,55,20,-87.98
tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,5,0,2.49,1.43,0.0,0.0,58.2,40.5,2.24,263,61.98,55,20,-87.98
tianma__shou_gone,tianma,shou_gone,10,5,0,2.4,1.67,0.0,0.0,52.55,40.36,2.56,289,56.4,56,22,-84.44
tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,5,0,2.4,1.67,0.0,0.0,52.55,40.36,2.54,289,56.4,56,22,-84.44
tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,4,0,2.28,1.38,0.0,0.0,53.46,33.64,1.99,248,64.11,53,20,-105.45
tianma__shou_gone,tianma,shou_gone,20,4,0,2.28,1.38,0.0,0.0,52.29,33.64,1.99,248,64.52,53,20,-105.45
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,5,0,1.59,1.15,0.0,0.0,43.19,25.14,4.36,315,50.79,54,17,-128.84
tianma__shou_gone,tianma,shou_gone,5,5,0,1.42,1.22,0.0,0.0,34.08,24.75,3.3,331,46.22,51,15,-113.76
tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,5,0,1.42,1.29,0.0,0.0,34.08,24.75,0.9,331,46.22,50,15,-113.76
tianma__shou_or_trend_down,tianma,shou_or_trend_down,5,4,0,1.32,1.2,0.0,0.0,30.37,21.21,3.36,335,47.16,51,15,-123.88
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,5,5,0,0.93,0.51,0.0,0.0,20.18,11.83,0.0,361,39.06,46,9,-154.73
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,5,4,0,0.77,0.46,0.0,0.0,18.32,6.47,0.0,365,39.18,45,8,-181.37
tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,5,2,0,0.61,0.51,0.0,0.0,13.34,7.46,0.0,363,42.15,45,9,-201.01
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,5,2,0,0.54,0.42,0.0,0.0,12.24,2.78,0.0,373,39.14,41,7,-192.61
tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,5,3,0,0.47,0.41,0.0,0.0,15.84,6.32,0.0,370,40.0,45,11,-180.16
